Sat.EarthMJ2000Eq.HX      Sat.EarthMJ2000Eq.HY      Sat.EarthMJ2000Eq.HZ      
0                         -0                        138083.4969109361         
0                         -0                        138083.4969109361         
0                         -0                        138083.4969109361         
0                         -0                        138083.4969109361         
0                         -0                        138083.4969109361         
0                         -0                        138083.4969109361         
0                         0                         138083.4969109362         
0                         0                         138083.4969109363         
0                         0                         138083.4969109367         
0                         0                         138083.496910937          
0                         0                         138083.4969109374         
0                         0                         138083.4969109379         
0                         0                         138083.4969109385         
0                         0                         138083.496910939          
0                         0                         138083.4969109392         
0                         0                         138083.4969109393         
0                         0                         138083.4969109394         
0                         0                         138083.4969109394         
0                         0                         138083.4969109394         
0                         0                         138083.4969109395         
0                         0                         138083.4969109395         
0                         0                         138083.4969109395         
0                         0                         138083.4969109395         
0                         0                         138083.4969109395         
0                         0                         138083.4969109396         
0                         0                         138083.4969109396         
0                         0                         138083.4969109396         
0                         0                         138083.4969109396         
0                         0                         138083.4969109396         
0                         0                         138083.4969109397         
0                         0                         138083.4969109396         
0                         0                         138083.4969109396         
0                         0                         138083.4969109396         
0                         0                         138083.4969109396         
0                         0                         138083.4969109396         
0                         0                         138083.4969109396         
0                         0                         138083.4969109396         
0                         0                         138083.4969109396         
0                         0                         138083.4969109396         
0                         0                         138083.4969109396         
0                         0                         138083.4969109397         
0                         0                         138083.4969109397         
0                         0                         138083.4969109397         
0                         0                         138083.4969109397         
0                         0                         138083.4969109398         
0                         0                         138083.4969109398         
0                         0                         138083.4969109398         
0                         0                         138083.49691094           
0                         0                         138083.4969109402         
0                         0                         138083.4969109404         
0                         0                         138083.496910941          
-0                        0                         138083.4969109426         
-0                        0                         138083.4969109462         
-0                        0                         138083.4969109501         
-0                        0                         138083.4969109512         
-0                        0                         138083.4969109536         
-0                        0                         138083.4969109543         
-0                        0                         138083.4969109557         
-0                        0                         138083.4969109565         
-0                        0                         138083.4969109567         
-0                        0                         138083.4969109567         
-0                        0                         138083.4969109567         
-0                        0                         138083.4969109568         
-0                        0                         138083.4969109571         
-0                        0                         138083.4969109579         
-0                        0                         138083.4969109598         
-0                        0                         138083.4969109622         
-0                        0                         138083.4969109647         
-0                        0                         138083.4969109673         
-0                        0                         138083.4969109673         
0                         -0                        138083.4969109672         
0                         -0                        138083.4969109672         
0                         -0                        138083.4969109674         
0                         -0                        138083.4969109687         
0                         -0                        138083.4969109701         
0                         -0                        138083.4969109711         
0                         -0                        138083.4969109716         
0                         -0                        138083.4969109716         
0                         -0                        138083.4969109711         
0                         -0                        138083.4969109706         
0                         -0                        138083.4969109702         
0                         -0                        138083.4969109696         
0                         -0                        138083.4969109692         
0                         -0                        138083.4969109692         
